Школа;;;;Отд./корп;;;;Дата;23.10.2023
;;;;;;;;;
Прием пищи;Раздел;№ рец.;Блюдо;Выход, г;Цена;Калорийность;Белки;Жиры;Углеводы
Завтрак;гор.блюдо;;;;;;;;
;;;;;;;;;
;гор.напиток;;;;;;;;
;хлеб;;;;;;;;
;фрукты;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Завтрак 2;фрукты;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Обед;закуска;;Огурцы свежие порциями;60;5,46;12,00;0,48;0,12;3,12
;1 блюдо;139*;Суп картофельный с горохом;200;5,23;118,00;4,71;3,73;15,96
;2 блюдо;413*;Котлеты рубленые с соусом;120(90/30);44,79;183,00;12,44;9,24;12,56
;гарнир;516*;Макароны отварные;150;5,87;211,00;5,32;4,89;35,52
;напиток;79*;Чай с фруктовым соком;200;4,34;95,00;0,34;0,02;24,53
;хлеб бел.;;;;;;;;
;хлеб черн.;;Хлеб ржаной;60;2,30;128,16;4,56;0,54;28,02
;;;;;;;;;
;;;;;;;;;
Полдник;булочное;;;;;;;;
;напиток;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ужин;гор.блюдо;;;;;;;;
;гарнир;;;;;;;;
;напиток;;;;;;;;
;хлеб;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ужин 2;кисломол.;;;;;;;;
;булочное;;;;;;;;
;напиток;;;;;;;;
;фрукты;;;;;;;;
;;;;;;;;;
;;;;;;;;;
